Output.Type,Output,Answer.Type,Choices,Correct.Answer,Hint,Figure,Figure.Type,Video,Notes,,,,,
text,"In a very broad sense of the term, a scientist is one who engages in a systematic method to acquire knowledge. More importantly, a scientist seeks to answer important questions or problems through careful observations and methods. These observations - collected from experiments, censuses, surveys, field notes, etc. - are known as DATA. Statistics is the study of how best to collect, analyze, and draw conclusions from data.",,,,,,,,,,,,,
text,"Once a question has been posed, or a problem identified, the next logical step is to attempt to answer the question. Unfortunately, without any additional information, it is very difficult to answer a question, or diagnose a problem. This is where data collection comes into play! Having a set of observations, or data, related to the question will help reveal an answer.",,,,,,,,,,,,,
text,But how exactly does one collect useful data?,,,,,,,,,,,,,
text,"Remember, when conducting research, a scientist wants to answer a question, one that is usually targeted at a specific population. This population does not have to be a human population, as in the most common meaning of the word. Think of this population as the group of entities - people, animals, cars, salaries, etc. - that is to be studied by the scientist.",,,,,,,,,,,,,
text,"Unfortunately, it is often very difficult, if not impossible, to collect thorough data from an entire population. Not only can it be very time-consuming to do so, it may also  be an inefficient use of resources. Instead, scientists target a SAMPLE population. This sample population is selected in such a way that it is REPRESENTATIVE of the larger population in question. In mathematical terms, this sample population is called a subset of the target population.",,,,,,,,,,,,,
figure,Here is a simple visual illustration of how a sample is related to a population.,,,,,mod1_pop_vs_samp.R,new,,,,,,,
question,"Let's quickly test your understanding of the term 'representative.' If you were interested in studying the health of men living in the U.S., ages 18-25, which sample would be more representative of the target population: a sample of 25 men who live in a nearby retirement home, or a sample of 25 men who are students at a local university?",multiple,"Men living at the retirement home
College students",College students,"Since your target population is technically all men ages 18-25 living in the U.S., which of these 2 sample populations more closely matches the population of interest?",,,,,,,,,
text,"Now that you have a basic idea of how a scientist collects data, the next step is to learn what to do with all of this data. While this raw data does contain useful information, this information is usually specific to each individual in the sample population. The scientist seeks to discover trends and correlations among the subjects in the sample population, so that he or she may draw conclusions about the target population as a whole.",,,,,,,,,,,,,
text,"To check your understanding of some of the concepts of data collection that we have covered thus far, see if you can complete the following sentence.",,,,,,,,,,,,,
question,A statistician collects data from a __________ in order to generalize results to an entire __________. (Separate the two words in your response with a comma.),text,,"sample, population
sample,population",The first term is a subset of the second. Make sure you type two words separated by a comma.,,,,,,,,,
text,"To truly gather as much useful information from the data as possible, it is important to learn how to analyze a data set like a statistician!",,,,,,,,,,,,,
text,"Before we delve too deeply into the specifics of data visualization and simple data analysis, I would like to introduce a helpful resource. Throughout our lessons, I will use as a reference the free online textbook, 'OpenIntro Statistics,' written by David M. Diez, Christopher D. Barr, and Mine Cetinkaya-Rundel. If at any time you feel as if you would like a more thorough explanation of the concepts, you may access the textbook via the following URL: http://www.openintro.org/stat/down/OpenIntroStatSecond.pdf",,,,,,,,,,,,,
text,"In addition to this textbook, you'll have the option to watch short videos on various topics as you progress through the lessons. Let's keep going!",,,,,,,,,,,,,
text,"Today, statistical analysis is inseparable from computing. As we collect greater amounts of data and face more complex statistical problems, we must use special software to help us more easily gain insight from this data.",,,,,,,,,,,,,
text,"There are many such software tools available to us, however, we will be focusing on one in particular called R. There are many good reasons to use R, but most importantly it is high quality, free of cost, and available to anyone who wishes to use it. I will be using R as a teaching tool for the topics we'll cover together and before you know it, you will know R well enough to perform data analysis on your own.",,,,,,,,,,,,,
text,"Learning R is like learning any other language. There are certain rules that you must follow in order to get the desired results. Let's review some of those basic rules here, so that you can start using R right away.",,,,,,,,,,,,,
text,"Let's say we wanted to store the value '5' in a new variable 'x'. The way we would do this in R is by typing 'x <- 5'. The ASSIGNMENT OPERATOR is the '<-' in between 'x' and '5,' which says 'x gets the value 5'. It is really just a 'less than' sign followed by a dash. Now it's your turn to try.",,,,,,,,,,,,,
